mmsi1,mmsi2,distance_km,sog1,cog1,cog_diff_1,sog_diff_1,lat_rad_1,lon_rad_1,length_1,vessel_type_1,sog2,cog2,cog_diff_2,sog_diff_2,lat_rad_2,lon_rad_2,length_2,vessel_type_2,TCPA,DCPA,tcpa_type,base_date_time,movement_state,anomaly_dcpa_tcpa
205670000.0,209228000.0,4.3748697398728,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,95.3,,,0.5894046697154931,-2.0634102721825403,228.0,80.0,0.0,0.0759757971666244,static,2025-06-01,anchored,False
205670000.0,311000397.0,6.24473257462491,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,115.8,,,0.588941633864939,-2.064312083807045,348.0,60.0,0.0,0.1090861382821672,static,2025-06-01,anchored,False
205670000.0,338010967.0,9.212489624806151,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.2,135.1,,,0.5891015060244217,-2.061468593389697,12.0,37.0,0.2235999976417635,0.1379538835502277,dynamic,2025-06-01,anchored,False
205670000.0,338067613.0,6.213679532996667,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,4.0,155.8,,,0.5882908005868703,-2.0621222191945683,12.0,36.0,0.0115661977686154,0.0664147450985818,dynamic,2025-06-01,moving,False
205670000.0,338068521.0,35.39009715771228,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,49.6,,,0.593096913748087,-2.0673226022338107,14.0,37.0,0.0,0.6158227381848647,static,2025-06-01,anchored,False
205670000.0,338081579.0,6.644996853569761,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.1,17.5,,,0.5885398590711298,-2.0643838168393027,13.0,37.0,-0.3050506913220911,0.1013991261314335,dynamic,2025-06-01,anchored,False
205670000.0,338087117.0,1.6554693722193987,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.2,132.6,,,0.588998531598554,-2.0632523198852346,10.0,37.0,-0.0676919144858083,0.0140670963349088,dynamic,2025-06-01,anchored,False
205670000.0,338118971.0,34.32822446410582,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.1,326.5,,,0.5929087672547221,-2.0672831577927155,10.0,50.0,3.2069307013160797,0.064470343504434,dynamic,2025-06-01,anchored,False
205670000.0,338124712.0,6.496729260770254,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,3.3,321.3,,,0.5884644608474437,-2.0643323296263687,17.0,37.0,0.0070927303140379,0.1048490981346487,dynamic,2025-06-01,moving,False
205670000.0,338130192.0,35.436851243088995,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,340.5,,,0.593116985034485,-2.067306370671767,13.0,37.0,0.0,0.6166194476959103,static,2025-06-01,anchored,False
205670000.0,338137334.0,9.304356364402276,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,0.0,,,0.5892755153508454,-2.061516415411201,13.0,37.0,0.0,0.162433662138971,static,2025-06-01,anchored,False
205670000.0,338139686.0,6.831312838411148,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,242.7,,,0.5885316560236454,-2.064417676226791,,37.0,0.0,0.1193293501314969,static,2025-06-01,anchored,False
205670000.0,338140889.0,4.125020503565304,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,283.2,,,0.5893980374643355,-2.0631950730857693,16.0,34.0,0.0,0.0715918084195464,static,2025-06-01,anchored,False
205670000.0,338143134.0,3.8611315250789646,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,248.5,,,0.5892465428852623,-2.0627355278937194,11.0,36.0,0.0,0.0671621919144931,static,2025-06-01,anchored,False
205670000.0,338145691.0,5.502199896716161,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,80.5,,,0.5886344559165879,-2.06418467477165,9.0,90.0,0.0,0.0961276872568192,static,2025-06-01,anchored,False
205670000.0,338173554.0,9.55603848325804,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,115.7,,,0.5890805620733977,-2.0613959876928134,10.0,36.0,0.0,0.1669179389740221,static,2025-06-01,anchored,False
205670000.0,338174829.0,25.752611688842247,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,5.6,147.0,,,0.5912706012188003,-2.066960097348171,11.0,36.0,-0.0410046020102961,0.1434160902318622,dynamic,2025-06-01,moving,False
205670000.0,338218167.0,21.83135299729964,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.1,15.4,,,0.5907805127648401,-2.066478386474621,,,0.7271891012754481,0.3559316234504159,dynamic,2025-06-01,anchored,False
205670000.0,338218665.0,9.366689950090912,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,354.5,,,0.5891072656109533,-2.061440319055814,,37.0,0.0,0.1635990702267338,static,2025-06-01,anchored,False
205670000.0,338225409.0,3.434644743952743,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,75.1,,,0.5891765551822574,-2.062757169976444,13.0,37.0,0.0,0.0597621333848796,static,2025-06-01,anchored,False
205670000.0,338241000.0,4.617136185527856,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,203.1,,,0.5886463241555016,-2.0640179958280847,299.0,70.0,0.0,0.0806634843795145,static,2025-06-01,anchored,False
205670000.0,338247851.0,12.248696061414286,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,282.0,,,0.5886285217971312,-2.0608488269723133,10.0,30.0,0.0,0.2140146828175622,static,2025-06-01,anchored,False
205670000.0,338249576.0,34.37302316050487,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,3.3,47.6,,,0.5927576217414994,-2.0675069090028213,12.0,36.0,0.0002671270373123,0.5983677576187482,dynamic,2025-06-01,moving,False
205670000.0,338252851.0,35.5716395192681,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,273.1,,,0.5930745735336616,-2.0674105668281118,13.0,37.0,0.0,0.6190339105062826,static,2025-06-01,anchored,False
205670000.0,338304692.0,21.578023777526603,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.1,179.7,,,0.5907599178796666,-2.066437196704274,10.0,36.0,-1.2077164472931274,0.3024126107253277,dynamic,2025-06-01,anchored,False
